( 0 , AM , local , 2)
( 1 , CLASS , class , 2)
( 2 , ID , parent , 2)
( 3 , { , { , 2)
( 4 , FUNC , func , 3)
( 5 , AM , local , 3)
( 6 , ID , parent , 3)
( 7 , ( , ( , 3)
( 8 , ) , ) , 3)
( 9 , { , { , 3)
( 10 , SUPER , super , 4)
( 11 , ( , ( , 4)
( 12 , ) , ) , 4)
( 13 , ; , ; , 4)
( 14 , } , } , 5)
( 15 , FUNC , func , 6)
( 16 , AM , local , 6)
( 17 , ID , parent , 6)
( 18 , ( , ( , 6)
( 19 , ) , ) , 6)
( 20 , { , { , 6)
( 21 , SUPER , super , 7)
( 22 , ( , ( , 7)
( 23 , ID , A1 , 7)
( 24 , , , , , 7)
( 25 , ID , A2 , 7)
( 26 , ) , ) , 7)
( 27 , ; , ; , 7)
( 28 , } , } , 8)
( 29 , FUNC , func , 9)
( 30 , AM , local , 9)
( 31 , CONST , const , 9)
( 32 , ID , id , 9)
( 33 , ( , ( , 9)
( 34 , ) , ) , 9)
( 35 , : , : , 9)
( 36 , DT , string , 9)
( 37 , { , { , 9)
( 38 , } , } , 10)
( 39 , FUNC , func , 11)
( 40 , AM , global , 11)
( 41 , STATIC , static , 11)
( 42 , CONST , const , 11)
( 43 , ID , id , 11)
( 44 , ( , ( , 11)
( 45 , ) , ) , 11)
( 46 , : , : , 11)
( 47 , DT , float , 11)
( 48 , { , { , 11)
( 49 , } , } , 13)
( 50 , FUNC , func , 14)
( 51 , AM , local , 14)
( 52 , ID , walk , 14)
( 53 , ( , ( , 14)
( 54 , ) , ) , 14)
( 55 , : , : , 14)
( 56 , VOID , void , 14)
( 57 , { , { , 14)
( 58 , } , } , 16)
( 59 , FUNC , func , 17)
( 60 , AM , local , 17)
( 61 , ID , call , 17)
( 62 , ( , ( , 17)
( 63 , DT , int , 17)
( 64 , ID , a , 17)
( 65 , , , , , 17)
( 66 , ID , A , 17)
( 67 , [ , [ , 17)
( 68 , ] , ] , 17)
( 69 , ID , arr , 17)
( 70 , ) , ) , 17)
( 71 , : , : , 17)
( 72 , ID , A , 17)
( 73 , { , { , 17)
( 74 , WHILE , while , 19)
( 75 , ( , ( , 19)
( 76 , ID , c , 19)
( 77 , ROP , < , 19)
( 78 , IC , 5 , 19)
( 79 , PM , + , 19)
( 80 , IC , 1 , 19)
( 81 , ) , ) , 19)
( 82 , { , { , 19)
( 83 , ID , New , 20)
( 84 , ID , cla , 20)
( 85 , = , = , 20)
( 86 , CREATE , create , 20)
( 87 , ID , New , 20)
( 88 , ( , ( , 20)
( 89 , IC , 12 , 20)
( 90 , , , , , 20)
( 91 , SC , "athar" , 20)
( 92 , ) , ) , 20)
( 93 , ; , ; , 20)
( 94 , } , } , 21)
( 95 , IF , if , 22)
( 96 , ( , ( , 22)
( 97 , IC , 4 , 22)
( 98 , ROP , >= , 22)
( 99 , IC , 43 , 22)
( 100 , PM , + , 22)
( 101 , IC , 54 , 22)
( 102 , MDM , * , 22)
( 103 , IC , 5 , 22)
( 104 , PM , + , 22)
( 105 , SELF , self , 22)
( 106 , . , . , 22)
( 107 , ID , m , 22)
( 108 , . , . , 22)
( 109 , ID , fn , 22)
( 110 , ( , ( , 22)
( 111 , ID , fn , 22)
( 112 , ( , ( , 22)
( 113 , ) , ) , 22)
( 114 , . , . , 22)
( 115 , ID , arr , 22)
( 116 , ) , ) , 22)
( 117 , ) , ) , 22)
( 118 , { , { , 22)
( 119 , ID , print , 23)
( 120 , ( , ( , 23)
( 121 , SC , "dsadas" , 23)
( 122 , ) , ) , 23)
( 123 , ; , ; , 23)
( 124 , } , } , 24)
( 125 , ELSE , else , 24)
( 126 , { , { , 24)
( 127 , DT , int , 25)
( 128 , ID , a , 25)
( 129 , [ , [ , 25)
( 130 , ] , ] , 25)
( 131 , = , = , 25)
( 132 , DT , int , 25)
( 133 , [ , [ , 25)
( 134 , IC , 3 , 25)
( 135 , ] , ] , 25)
( 136 , ; , ; , 25)
( 137 , WHILE , while , 26)
( 138 , ( , ( , 26)
( 139 , ID , a , 26)
( 140 , ROP , == , 26)
( 141 , ID , b , 26)
( 142 , ) , ) , 26)
( 143 , { , { , 26)
( 144 , LK , break , 27)
( 145 , ; , ; , 27)
( 146 , } , } , 28)
( 147 , } , } , 29)
( 148 , RETURN , return , 31)
( 149 , IC , 3 , 31)
( 150 , ; , ; , 31)
( 151 , } , } , 32)
